service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2021_09_13-DX-MVS-Weekday-08,1,1,1,1,1,0,0,20211101,20220211
2021_09_13-SA-MVS-Saturday-12,0,0,0,0,0,1,0,20211106,20220212
2021_09_13-SU-MVSs-Sunday-03,0,0,0,0,0,0,1,20211107,20220213
2021_09_13-SU-MVS-Sunday-01,0,0,0,0,0,0,1,20211128,20220206
2021_09_13-DX-MVS-Weekday-10,1,1,1,1,1,0,0,20211231,20211231
2021_09_13-DX19-Weekday-00,1,1,1,1,1,0,0,20211101,20220211
2021_09_13-DX20-Weekday-00,1,1,1,1,1,0,0,20211101,20220211
2021_09_13-SA19-Saturday-01,0,0,0,0,0,1,0,20211106,20220212
2021_09_13-SA20-Saturday-01,0,0,0,0,0,1,0,20211106,20220212
2021_09_13-SU19-Sunday-01,0,0,0,0,0,0,1,20211107,20220213
2021_09_13-SU20-Sunday-01,0,0,0,0,0,0,1,20211107,20220213
